"","State","deaths_20","deaths_19","deaths_18","deaths_17","deaths_16"
"1","California","5508",3235,2410,2199,2012
"2","Florida","5470",3771,3189,3245,2798
"3","Ohio","4385",3452,3237,4293,3613
"4","New York","4233",2939,2991,3224,3009
"5","Pennsylvania","3907",3034,2866,2548,2235
"6","Illinois","2948",2219,2169,2201,1947
"7","North Carolina","2634",1817,1783,1953,1505
"8","New Jersey","2538",2502,2583,1969,1409
"9","Maryland","2504",2104,2087,1985,1821
"10","Tennessee","2412",1543,1307,1269,1186
"11","Michigan","2190",1789,2011,2033,1762
"12","Texas","2124",1497,1402,1458,1375
"13","Massachusetts","2065",1969,1991,1913,1990
"14","Virginia","1897",1266,1193,1241,1130
"15","Arizona","1884",1290,1106,927,769
"16","Indiana","1877",1254,1104,1176,794
"17","Kentucky","1688",1036,989,1160,989
"18","South Carolina","1409",862,835,748,628
"19","Missouri","1377",1096,1132,952,914
"20","Georgia","1305",862,866,1014,918
"21","Wisconsin","1251",928,846,926,865
"22","Connecticut","1250",1100,948,955,855
"23","Washington","1195",827,737,742,709
"24","West Virginia","1129",673,702,833,733
"25","Colorado","978",633,564,578,536
"26","Louisiana","945",558,444,415,346
"27","Minnesota","678",428,343,422,396
"28","Alabama","611",414,381,422,343
"29","Nevada","559",373,372,412,408
"30","New Mexico","535",394,338,332,349
"31","Oregon","499",332,339,344,312
"32","Utah","447",397,437,456,466
"33","Maine","420",323,282,360,301
"34","Delaware","407",387,355,250,154
"35","Mississippi","405",245,173,185,180
"36","New Hampshire","341",365,412,424,437
"37","Washington DC","337",243,191,244,209
"38","Rhode Island","331",240,267,277,279
"39","Oklahoma","320",268,308,388,444
"40","Arkansas","284",198,208,188,169
"41","Kansas","262",184,156,144,146
"42","Iowa","224",161,143,206,183
"43","Idaho","160",133,120,103,119
"44","Vermont","157",114,127,114,101
"45","Alaska","112",83,68,102,94
"46","Nebraska","101",68,63,59,44
"47","Montana","86",70,64,38,42
"48","Hawaii","74",55,59,53,77
"49","North Dakota","71",43,36,35,54
"50","Wyoming","60",47,40,47,50
"51","South Dakota","46",39,28,35,42
